Component,Weight Percentage
n-C7,0.0
n-C9,0.0
n-C10,14.7
n-C12,0.0
i-C8,0.0
i-C10,34.9
i-C11,0.0
i-C15,0.0
C9H18,21.3
C10H18,11.1
C7H8,0.0
C8H10,0.0
C9H12,11.8
C9H10,0.0
C9H8,0.9
C10H12,3.9
C10H8,0.1
C11H10,1.0
C12H10,0.2
C12H8,0.0
C14H10,0.0
